Name,Alignment,Gender,powers_total
Spectre,good,Male,48
Amazo,bad,Male,42
Martian Manhunter,good,Male,33
Captain Marvel,good,Female,31
Captain Marvel,good,Male,31
Galactus,neutral,Male,30
Mister Mxyzptlk,bad,Male,30
Thanos,bad,Male,29
Wonder Woman,good,Female,28
Cable,good,Male,28
Franklin Richards,good,Male,27
Dr Manhattan,good,Male,27
Darkseid,bad,Male,27
Captain Atom,good,Male,27
Superman,good,Male,27
Captain Planet,good,Male,26
Goku,good,Male,25
Supergirl,good,Female,25
Ultron,bad,Male,24
Nova,good,Male,23
Apocalypse,bad,Male,23
Nova,good,Female,23
Nova,good,Female,23
Nova,good,Male,23
Power Girl,good,Female,22
Aquaman,good,Male,22
Bizarro,neutral,Male,22
Mister Sinister,bad,Male,22
Naruto Uzumaki,good,Male,22
Doctor Fate,good,Male,22
Sentry,good,Male,21
Superboy-Prime,bad,Male,21
Onslaught,bad,Male,21
Firestorm,good,Male,21
Anti-Monitor,bad,Male,21
Firestorm,good,Male,21
Iron Fist,good,Male,20
Iron Man,good,Male,20
Silver Surfer,good,Male,20
Doctor Strange,good,Male,20
Wolverine,good,Male,20
Beyonder,good,Male,19
Spider-Man,good,Male,19
Spider-Man,good,-,19
Toxin,good,Male,19
Doomsday,bad,Male,19
Spider-Man,good,Male,19
Toxin,good,Male,19
Ghost Rider,good,Male,18
Vision,good,Male,18
